name,artist,id
360,Charli xcx,4w2GLmK2wnioVnb5CPQeex
Club classics,Charli xcx,0CySZwyRJ0vyUqtSjM9i2k
Sympathy is a knife,Charli xcx,5c9tBmJKbTdn1vhzXHeAwW
Talk talk,Charli xcx,62fqMvguJbsSs9HKhhRfuS
Von dutch,Charli xcx,3Y1EvIgEVw51XtgNEgpz5c
Everything is romantic,Charli xcx,5sMEEjviCkH6Rp5X2ZvIIc
Rewind,Charli xcx,50GxvQA2KEWNt31EdwIlzY
Mean girls,Charli xcx,1qKCO2Tocwg8CbepJ9uDtd
365,Charli xcx,5h68SoVFGleijCtjEja3xG
Guess featuring billie eilish,Charli xcx,3WOhcATHxK2SLNeP5W3v1v
"Girl, so confusing featuring lorde",Charli xcx,2YFhqZvhTpyK13gKXMKV7R
You (Ha Ha Ha),Charli xcx,5cghqtgljxpGJ1XeXAIK4p
Grins,Charli xcx,32OiPj5WrMToQV5XjNd8dF
Spring breakers,Charli xcx,3dk7WaeS0y0JG0OMd0FVcg
Hello goodbye,Charli xcx,7KA5C1c2byqgzCCgdo0nZR
Break the Rules,Charli xcx,70ebKSMHvkUSg7JXgUz74Q
London Queen,Charli xcx,2S7oQv5DIOZjO35ZjZNvN6
Boom Clap,Charli xcx,094RugjgLW6CdPLOJctBZ3
Body of My Own,Charli xcx,2uoWRWXaEdFH2EMjzvTP3Z
Red Balloon - Bonus Track,Charli xcx,20WrXSEQIeMOzGiYZ6wDID
3AM (Pull Up) [feat. MØ],Charli xcx,4R2u9nFjSycaZsEYAe5Kc0
Roll with Me,Charli xcx,0D6VCA9ycrkk9kH9F0p0AB
ILY2,Charli xcx,1KPS1MHPrq9uPklJX8Q4XW
Lipgloss (feat. CupcakKe),Charli xcx,7niKxzFThgRf5fXlIYdjtZ
Tears (feat. Caroline Polachek),Charli xcx,64xw3gXNMWv4wNXjF6tnXr
"I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar)",Charli xcx,7tjQl5EC72HBJRAKxP3Bvm
Femmebot (feat. Dorian Electra and Mykki Blanco),Charli xcx,1qZuf7zgRHKgfSijGm2CTy
Delicious (feat. Tommy Cash),Charli xcx,740PUPhgdtWhxGYbQzM3do
Unlock it (Lock It) - feat. Kim Petras and Jay Park,Charli xcx,3qGHAKgjQruzj6doKkyEb5
1999,Charli xcx,3WGJSY8JaGliVIJyMig5aS
Click (feat. Kim Petras and Tommy Cash),Charli xcx,3B0K8G7WESjdKxQvVMByR9
Blame It on Your Love (feat. Lizzo),Charli xcx,2RCUr24WkEe2r5Vv4oDKlN
"Shake It (feat. Big Freedia, CupcakKe, Brooke Candy and Pabllo Vittar)",Charli xcx,3XbNseJrIK8LzoTh4eA0Xf
Vroom Vroom,Charli xcx,5hyq3LBlCfjRQAFkdQwe8o
Trophy,Charli xcx,3LcH7UHXAstKd0qUDdlRQa
Secret (Shh),Charli xcx,1NvAqtx7PytXUytohhYXbk
forever,Charli xcx,5GsJIVCBFjhCcUwJaTW2sB
claws,Charli xcx,7Dexi5Z2IowCkHrnzlWysc
detonate,Charli xcx,1M6VHCglQ2PLWeAsyhgEUH
i finally understand,Charli xcx,2PBcNVg8jB1e5kVkjXJyZ5
anthems,Charli xcx,2ljvO8ZpKFMT3HXwCjW4Yw
visions,Charli xcx,5oZIhePTCzvWskktjYgdjr
Crash,Charli xcx,6WKDtdVILJvcfqpvSQgwAQ
Good Ones,Charli xcx,2grSOc6HNTXQQXNoRKt9UM
Beg for You (feat. Rina Sawayama),Charli xcx,11M8c9SHQYpd8DOrmcu25k
Move Me,Charli xcx,2A8lxHaI7sJD1oABvXwly1
Baby,Charli xcx,2lE8pY64icLsx6k0Wr9iVF
Lightning,Charli xcx,4aguR8nLIlmF6WCOlCArhT
Yuck,Charli xcx,5cYEuFqzITZlZzpoR1sHvu
Used to Know Me,Charli xcx,5dry5tz8yLcLuOJ3l6ZEQd
745 sticky,100 gecs,2fwz9mBaELJCzXuEEEe35Y
money machine,100 gecs,61bwFjzXGG1x2aZsANdLyl
stupid horse,100 gecs,23Dapn8107GgxvXDIsPwWm
xXXi_wud_nvrstøp_ÜXXx,100 gecs,7vaFuClNKe02pjKYbXEJ46
hand crushed by a mallet,100 gecs,7CUkeiG7QtB7tPU9f8SANS
gec 2 Ü,100 gecs,6oEpHl3cdz5s3gr2JVjok5
Dumbest Girl Alive,100 gecs,0qMZXgcLfkl5RI3q50KHMH
757,100 gecs,4vwHBxN5OGtUqqUWvWClGd
Hollywood Baby,100 gecs,0oigSejhoNen2EdNAIFcm5
Frog On The Floor,100 gecs,6yOeP45D6bNbtQgD3ssQfL
Doritos & Fritos,100 gecs,1jPPKYq1s1HhIjAiqrnRR8
Billy Knows Jamie,100 gecs,6fXeuZAQ00BjrOxFtoFS9S
One Million Dollars,100 gecs,3Cqt1Sg1FYBpUzoXEzf4dD
mememe,100 gecs,39Pudjd7JS8NosYN24m7Hc
Emasculate,Dorian Electra,7Iv5IZonH69m1fHM8MdlHf
Man To Man,Dorian Electra,2dfS66uV3scigFBn6Rrclq
Musical Genius,Dorian Electra,76aidnX3GIFC41UTh8OsRe
Guyliner,Dorian Electra,0SfwFo03No7kEcTddrbBix
F The World,Dorian Electra,0HO7edOcs0Ls9pVJ4n4AQ2
My Agenda,Dorian Electra,57oEu27g2NIPvHeYBAWgpm
Gentleman,Dorian Electra,0zRJLA25QhP1mzcr3tZdZ0
M'Lady,Dorian Electra,409gGEZPPOiktQ9aKn9gUI
Sorry Bro (I Love You),Dorian Electra,2eqJwRnJ63ufvVS7salI03
Edgelord,Dorian Electra,1KIYFOA09YNTjzLSvDz8NC
Ram It Down,Dorian Electra,72vmEODDrpQ5wEUhLbiYgI
Sodom & Gomorrah,Dorian Electra,3x3kYVMHdqwConilMGjZzi
Puppet,Dorian Electra,1NYHFRHEH94RWrAwOMe25M
Replay - Dorian Electra Remix,Lady Gaga,6l6XdpIyh6RJ4gmdqoz0D6
Genesis,Grimes,0yljUudXzjVcGEoYmLB17X
Oblivion,Grimes,4BY4V1T0RJK1HmD2Q0ClyK
Be a Body,Grimes,1bXHMidMrVaiBkpGo05Ze5
Kill V. Maim,Grimes,3WXhshrs1fzwF3rQE399Gq
Pin,Grimes,7ssKQDHJe7PhzFt0RBFlgt
Realiti,Grimes,7eXFZCiP9GqdMUashk96UF
World Princess part II,Grimes,7v9t1j6m5nYYGG1etmAD12
Ponyboy,SOPHIE,48XnOS1vTyzqaPps0Dalzp
Faceshopping,SOPHIE,2rN1ODOsaNfYu782rw36jR
Is It Cold In The Water?,SOPHIE,7tktCNlB0877dhdPZSRb7T
Immaterial,SOPHIE,1huN927tTdSiwF90FBHXkT
VYZEE,SOPHIE,1LzvuqP3L5Q7G61kUBgfCJ
HARD,SOPHIE,64LJZpSz4VxvNDcyx1762M
LEMONADE,SOPHIE,390ey4VzRGd88FHKCIflG7
Ultimate One,Urias,5ejQqEaGM9R98k6xy1rUcJ
R.I.P.,Urias,68keQeELMv1g0DwT7TaQcK
The Way I Drop,Urias,04Xrk7U4pO1PHHJPmCR7nk
So Dumb,Urias,5A1xlxgPzHoq4G03uc7kCS
Cuntelectual,Urias,39UIGfLXmKgetqGJRvYpGF
Her Mind,Urias,76Akv85r5QM2eEMPO5DTaS
Rakata,Arca,0hp5IJ83YpnglsrvGfIhIN
KLK,Arca,2ZFu40Ik8VsUE9H87W0MmZ
